Potential_E_V,k1_mA_per_mV_per_s,k2_mA_per_sqrt_mV_per_s,local_fit_R2
0.128258746744897,0.001955569389047188,0.008937444365782183,0.9808113522853634
0.1289135195602675,0.0019680259652604137,0.008980065668261445,0.9816037124155242
0.12956829237563802,0.0019807816339101605,0.009021750821921717,0.9822076517414721
0.13022306519100854,0.001998284093035169,0.00905211021685633,0.982016823763011
0.13087783800637903,0.002021003841223174,0.00905980948979447,0.9825930232879542
0.13153261082174955,0.002038795428581783,0.009082097650285972,0.9825202095966407
0.13218738363712007,0.0020442777543423674,0.00915276934733361,0.9828475457344262
0.13284215645249056,0.002049661826748066,0.009203587675951525,0.9837682129313176
0.13349692926786108,0.002059810467450129,0.009221644192505672,0.9849312795619333
0.13415170208323157,0.0020649982800092057,0.009312321314758487,0.9853842669540248
0.1348064748986021,0.0020761965800903314,0.00937579658339792,0.9854511973281728
0.1354612477139726,0.0020966567746021226,0.009395067462983284,0.9855426805154412
0.1361160205293431,0.0021193469741223807,0.009407028512517486,0.9860223677492929
0.13677079334471362,0.0021335855835064063,0.009451742743514019,0.9860482975443005
0.13742556616008414,0.002141952201681854,0.009522927293389473,0.986197578796723
0.13808033897545463,0.0021463223136564597,0.009582066249541894,0.9865326099622126
0.13873511179082515,0.002155042930162247,0.009630522728833179,0.9868682032721676
0.13938988460619567,0.002161203739023425,0.009703841231194875,0.9872337224044266
0.14004465742156616,0.0021797587483195846,0.00972432598004806,0.9880302695144377
0.14069943023693668,0.0021998227112849465,0.009743960672123705,0.98888066776402
0.14135420305230717,0.002207931591828071,0.009825937807378221,0.9884176026640301
0.1420089758676777,0.002207373020988718,0.009914515083842031,0.9877220813122221
0.1426637486830482,0.0022181436689782774,0.009958095831983375,0.9881043258783866
0.1433185214984187,0.002231385494145122,0.00999717025921907,0.988028632163842
0.14397329431378922,0.002242479193202201,0.010032478028074627,0.9889658573384527
0.14462806712915974,0.002251337876396022,0.010076947217892575,0.9898075202153856
0.14528283994453023,0.002261804138461339,0.01013425975466247,0.9905396207364024
0.14593761275990075,0.0022807852415805806,0.01015911303171959,0.9910295043694348
0.14659238557527124,0.002294647412420733,0.010217469443503411,0.9903673759735274
0.14724715839064176,0.0023108374824591395,0.01023952310162623,0.9905314826290822
