J_A_g^-1,bootstrap_id,V0,Rs,Csp_F_g^-1,A,tau_s,effective_IR_drop_mV
3,21,0.27744183302438924,0.009627404438552176,81.83291383319175,1.8727801378813754e-10,8.999999999999957,28.88221331565653
3,22,0.2774242689461292,0.009627605149419221,81.87805480666117,3.054783326698867e-13,0.00010053999828180116,28.882815448257663
3,23,0.27746868511910083,0.009627013347857483,81.81354855214549,1.123525560211923e-11,8.999999999999996,28.881040043572447
3,24,0.2774317566944571,0.009643713489287893,81.94386950566741,2.053856878601678e-10,0.0009795596861845723,28.931140467863678
3,25,0.277480181858276,0.00964195414783351,83.9130223540068,0.008949893565418124,8.999993743953436,28.92586244350053
3,26,0.277731847609243,0.009600825848304267,81.88377924214448,0.00039006420486446266,0.020549406260730343,28.8024775449128
3,27,0.27746661321403776,0.009626094677369116,81.7738385005942,5.3609057619778595e-09,8.999996436534767,28.87828403210735
3,28,0.27746242614955546,0.009627096743772762,82.05462699981541,0.0009762830920809818,8.857150443759803,28.88129023131829
3,29,0.2774636180931504,0.009627080860633394,81.83972053489755,6.733855903532893e-13,8.999999999999988,28.88124258190018
3,30,0.27761632163670885,0.009652104424515619,82.04698531852159,0.0002492597396262963,0.14934344608995595,28.956313273546858
3,31,0.27742762746714045,0.009627560400306963,81.8865354421818,4.59603046290194e-12,8.999999999999927,28.882681200920892
