surrogate_SSE,true_SSE
14429.747131620861,16779.80530468506
16052.487046977956,19291.190305148764
26531.033332540945,33711.126181540865
4364.002857779426,4143.062736385531
5939.218732542443,6484.690788060309
21055.440191086844,25507.21356418344
35964.33947065763,47823.88004746598
21118.403363831472,17346.84397646029
3335.8780603954337,3477.9597336494257
44996.57035178223,30124.8780401775
7400.885318778459,6423.137081942425
4809.2685215137235,5131.415052293825
7233.947143414608,8462.412923457283
6158.066032614126,6724.143122593133
3863.892526809943,3908.564399456235
6091.324648600841,6460.208884896416
1836.5836627861156,1997.505483429671
37417.320762861506,26439.75814997285
17021.983233882598,12267.951028802314
5276.424723206313,4845.111377742915
1796.0550674281326,1716.4117308407094
34144.31105697391,26359.54400394228
34506.45791188038,25964.602753288797
13115.628387026542,9775.964882916129
31594.448036721136,24451.250676232605
20171.51129787305,15802.684810454202
13386.373649253288,15908.165902441542
1204.2867170577101,1000.8912209165952
2324.1561514423233,2644.7791991865083
5087.594052861799,6027.410202616968
55716.752304831534,39903.65299882242
24640.473441001894,17431.088909663893
44028.1345749052,30822.030424463217
5397.750543682154,5584.451362816753
5934.705067754091,5593.098752118671
4508.985956588412,4023.9425953998666
20050.49615026598,27833.2419699793
23548.142610354073,19173.796608007036
34209.360070653165,47749.89122997809
4758.407519048405,4356.3570188431495
12404.343702797712,14863.804039974575
4722.669625108646,4786.193880097777
29897.8312192972,22605.540306055336
6865.708191968157,7688.169747794511
20697.986450331056,16523.68237601869
1502.7651558568286,1554.0512873380337
13355.24655414106,15388.896151201949
7841.353110713738,6063.781852098211
10892.023737476247,9518.231788981026
677.2712356774975,668.6114971932152
15726.94409196696,13479.161074476891
32553.53010636257,42951.96469904656
43279.493859693495,31786.101752919065
23739.572023222878,18463.61095739915
32422.39799117388,23044.943360717018
33278.6274839064,25602.609996496452
13589.715895925041,15818.870435952596
22962.458773182836,31288.937956105106
